54792-159324,6
56508-47645,5
75041-55069,4
143470-143007,2
57803-51943,1
160391-158323,13
103112-102755,6
57468-47489,5
55323-50466,11
88995-54237,3
158437-158437,4
109886-109881,1
109886-109886,5
56244-56244,32
54844-48663,1
64147-64147,2
54535-54237,14
81332-51345,10
56067-118090,1
56809-56809,19
52936-50801,1
52276-52276,1
158323-158323,6
81737-81737,23
160068-158583,4
160068-158580,2
117131-117131,4
81289-54044,53
55323-159066,9
52243-52243,2
55425-52834,3
55167-47091,1
52403-52403,58
52010-51629,9
81282-158932,3
141647-141122,69
57197-57197,41
55980-55980,166
55946-47965,16
53143-159066,7
53552-53552,2
88660-64485,35
55822-55822,2
57502-49159,35
69210-52592,4
160464-158302,1
63447-141082,10
63708-63708,10
161066-161066,1
90019-52592,3
51231-103026,6
55178-54822,5
160089-160089,2
50776-47032,80
103159-101536,2
143728-140357,6
49724-118183,3
81768-103492,4
117276-117276,19
82852-81268,1
143572-142405,15
159595-159595,1
49612-49612,6
111322-111322,2
56673-53045,1
142691-142691,41
49750-49750,163
102317-102317,21
46739-46739,9
117343-117343,1
54612-103643,4
52670-52670,1009
49563-48399,86
49823-46739,3
117888-110325,52
143561-143561,20
55465-55465,4
54696-158236,4
159780-159780,2
55490-55490,1
89299-89299,234
110734-110734,92
74933-50495,144
158577-158574,1
64519-64519,4
55512-48727,3
81414-49541,45
56267-56267,47
64369-55812,1
55448-54666,14
57717-57697,2
52055-52048,2
82764-82764,4
160241-160241,5
49823-49823,334
56078-52463,44
159843-158843,5
158505-158505,1
68952-56525,2
143556-143556,1
161034-161034,5
161034-161030,15
82755-52592,3
56673-52834,17
55036-55036,44
64408-64408,8
82509-47337,2
160301-160301,9
54207-54207,54
143881-140523,3
143278-143278,21
55230-52652,1
56748-56748,1
69370-69370,3
143532-143532,36
90210-140428,2
81887-81268,69
53487-141030,25
56054-160375,3
69738-69738,16
54237-141442,2
81547-81539,3
57736-48404,5
55832-53598,193
57363-48727,2
159408-159408,114
69602-69602,5
55551-50045,51
81806-81806,3
55327-111002,4
54535-47502,1
51396-51396,210
117628-117628,3
47241-47241,3209
52318-52022,40
49266-47305,56
64000-64000,12
52059-49314,8
140592-140592,1
69361-69361,21
90194-48727,3
75093-75093,1
143986-143986,2
52670-48025,18
56220-56220,53
75633-74789,6
88746-52931,36
103089-103089,65
82658-82658,1
81543-103512,5
81472-81441,25
48679-47032,4
81268-54929,3
103248-103248,2
52103-52103,735
46824-46824,9
141475-141475,1
89279-89279,5
55061-55061,6
81482-50347,164
52484-52484,2
159304-159304,2
111332-111332,45
63944-63944,107
49944-49159,2
56085-51629,11
56846-56400,9
52592-50986,3
82279-82279,5
160127-160127,5
63427-55528,11
82526-82526,4
81482-161034,6
52744-52744,47
63381-52344,172
49803-117375,21
158640-158640,2
50476-50476,84
101646-101646,4
75041-75041,14
46832-46832,6
56187-55448,110
89724-89724,65
111095-111095,1
63516-63516,16
82857-82857,1
46610-46610,69
52397-143772,8
57830-50282,57
88854-52592,2
81320-47176,2
57507-48727,12
142972-142972,1
46768-46768,4
54359-48727,14
63475-142635,2
88771-53324,36
90027-90027,6
54598-53785,4
49550-49550,1304
102199-102199,2
49978-117114,4
143030-143027,2
52849-46566,6
88803-51714,16
55712-49349,20
53002-53002,1
158856-158856,1
50461-141245,143
143924-143924,6
140822-140822,2
90100-90100,4
81987-81987,4
75645-54884,2
110976-109729,4
56043-111002,8
53329-50487,32
81589-140679,20
160611-160611,12
52114-49266,1
50448-50448,10
54666-47742,111
46807-46807,6
81642-50023,122
50815-50815,125
57568-55490,2
103447-103442,9
117144-117144,1
111127-111127,25
81652-55009,2
55782-160664,61
49944-48727,2
81282-52059,2
89800-142701,20
52059-101913,2
64284-64284,1
82253-82253,11
52173-48453,2
117282-117282,4
75600-74714,25
101117-101117,6
54638-54638,239
116931-116931,1
54312-52359,3
75434-75434,143
111043-111043,1
50975-50975,16
